eleve_matricule,diplome_type,document_type,annee_session
DEMO2026001,PROBATOIRE,RELEVE_NOTES,2021,Centre,Centre d'examen Centre
DEMO2026001,BACCALAUREAT,RELEVE_NOTES,2022,Centre,Centre d'examen Centre
DEMO2026002,PROBATOIRE,RELEVE_NOTES,2021,Centre,Centre d'examen Centre
DEMO2026003,BACCALAUREAT,RELEVE_NOTES,2022,Centre,Centre d'examen Centre
DEMO2026003,BACCALAUREAT,ORIGINAL,2022,Centre,Centre d'examen Centre
DEMO2026004,PROBATOIRE,RELEVE_NOTES,2021,Centre,Centre d'examen Centre
DEMO2026005,BACCALAUREAT,RELEVE_NOTES,2022,Centre,Centre d'examen Centre
DEMO2026005,BACCALAUREAT,ORIGINAL,2022,Centre,Centre d'examen Centre
DEMO2026006,PROBATOIRE,RELEVE_NOTES,2025,Centre,Centre d'examen Centre
DEMO2026007,PROBATOIRE,RELEVE_NOTES,2025,Centre,Centre d'examen Centre
DEMO2026008,BACCALAUREAT,ORIGINAL,2025,Centre,Centre d'examen Centre
DEMO2026008,BACCALAUREAT,RELEVE_NOTES,2025,Centre,Centre d'examen Centre
