eleve_matricule,diplome_type,document_type,annee_session
DEMO2026001,BEPC,ORIGINAL,2019,Centre,Centre d'examen Centre
DEMO2026001,BEPC,RELEVE_NOTES,2019,Centre,Centre d'examen Centre
DEMO2026002,BEPC,RELEVE_NOTES,2019,Centre,Centre d'examen Centre
DEMO2026003,BEPC,ORIGINAL,2019,Centre,Centre d'examen Centre
DEMO2026004,BEPC,ORIGINAL,2019,Centre,Centre d'examen Centre
DEMO2026004,BEPC,RELEVE_NOTES,2019,Centre,Centre d'examen Centre
DEMO2026005,BEPC,RELEVE_NOTES,2019,Centre,Centre d'examen Centre
DEMO2026009,BEPC,ORIGINAL,2025,Centre,Centre d'examen Centre
DEMO2026009,BEPC,RELEVE_NOTES,2025,Centre,Centre d'examen Centre
DEMO2026010,BEPC,RELEVE_NOTES,2025,Centre,Centre d'examen Centre
DEMO2026011,BEPC,ORIGINAL,2025,Centre,Centre d'examen Centre
